Code,Depto,Municipio,Censo Electoral,Participación/Total votación,Abstención,Ganador Circunscripción Nacional,Votos Válidos (Nacional),Alianza Verde,Cambio Radical,Centro Democrático,Partido Conservador,FARC,Partido Liberal,Opción Ciudadana,MIRA,Polo Democrático Alternativo,Partido de la U,Somos,Todos Somos Colombia,Coalición Lista de la Decencia (ASI-UP-MAIS),GSC Colombia Justa Libres,GSC Si se puede,GSC Unión con Fortaleza,Voto en Blanco (Nacional),Ganador Circunscripción Indígena,Votos Válidos Indígenas,Autoridad Tradicional Casiyouren,MAIS,AICO,Movimiento Indígena Ambiental - MIA,Movimiento Político Soberanía,ASI,Renovación Étnica de Colombia,Voto en Blanco (Indígena),Vótos Válidos (todas las circunscripciones),Votos Inválidos,Votos Nulos,Tarjetones no Marcados,%Participación,%Abstención,%Votos Válidos (Nacional),%Alianza Verde,%Cambio Radical,%Centro Democrático,%Partido Conservador,%FARC,%Partido Liberal,%Opción Ciudadana,%MIRA,%Polo Democrático Alternativo,%Partido de la U,%Somos,%Todos Somos Colombia,%Coalición Lista de la Decencia (ASI-UP-MAIS),%GSC Colombia Justa Libres,%GSC Si se puede,%GSC Unión con Fortaleza,%Voto en Blanco (Nacional),%Válidos Indígenas,%Autoridad Tradicional Casiyouren,%MAIS,%AICO,%Movimiento Indígena Ambiental - MIA,%Movimiento Político Soberanía,%ASI,%Renovación Étnica de Colombia,%Voto en Blanco (Indígena),%Vótos Válidos (todas las circunscripciones),%Votos Inválidos,%Votos Nulos,%Tarjetones no Marcados
5042,Antioquia,Santafé de Antioquia,20291,7247,13044,Centro Democrático,5949,192,250,1816,468,7,1587,124,103,304,646,14,31,63,49,3,4,288,Voto en Blanco ,154,0,6,1,0,1,1,1,144,6103,1144,482,662,35.7%,64.3%,82.1%,3.2%,4.2%,30.5%,7.9%,0.1%,26.7%,2.1%,1.7%,5.1%,10.9%,0.2%,0.5%,1.1%,0.8%,0.1%,0.1%,4.8%,2.1%,0.0%,3.9%,0.6%,0.0%,0.6%,0.6%,0.6%,93.5%,84.2%,15.8%,6.7%,9.1%
5044,Antioquia,Anzá,5823,1911,3912,Partido Liberal,1461,34,31,361,268,4,605,2,87,15,7,5,4,9,1,0,1,27,Voto en Blanco ,16,0,1,0,0,0,0,0,15,1477,434,114,320,32.8%,67.2%,76.5%,2.3%,2.1%,24.7%,18.3%,0.3%,41.4%,0.1%,6.0%,1.0%,0.5%,0.3%,0.3%,0.6%,0.1%,0.0%,0.1%,1.8%,0.8%,0.0%,6.3%,0.0%,0.0%,0.0%,0.0%,0.0%,93.8%,77.3%,22.7%,6.0%,16.7%
5045,Antioquia,Apartadó,92258,34554,57704,Centro Democrático,27839,1592,3576,5153,2074,83,3376,708,1539,1351,4421,59,94,907,899,39,215,1753,Voto en Blanco ,1484,0,137,77,3,11,179,8,1069,29323,5231,2614,2617,37.5%,62.5%,80.6%,5.7%,12.8%,18.5%,7.4%,0.3%,12.1%,2.5%,5.5%,4.9%,15.9%,0.2%,0.3%,3.3%,3.2%,0.1%,0.8%,6.3%,4.3%,0.0%,9.2%,5.2%,0.2%,0.7%,12.1%,0.5%,72.0%,84.9%,15.1%,7.6%,7.6%
5051,Antioquia,Arboletes,22490,11444,11046,Partido de la U,9654,174,994,438,1342,7,824,2162,19,72,3363,5,15,47,75,15,13,89,AICO,185,0,12,132,0,0,2,1,38,9839,1605,624,981,50.9%,49.1%,84.4%,1.8%,10.3%,4.5%,13.9%,0.1%,8.5%,22.4%,0.2%,0.7%,34.8%,0.1%,0.2%,0.5%,0.8%,0.2%,0.1%,0.9%,1.6%,0.0%,6.5%,71.4%,0.0%,0.0%,1.1%,0.5%,20.5%,86.0%,14.0%,5.5%,8.6%
5055,Antioquia,Argelia,6697,2398,4299,Centro Democrático,1906,45,82,985,534,1,79,9,10,26,71,4,8,3,11,0,2,36,ASI,24,0,0,0,0,0,13,0,11,1930,468,163,305,35.8%,64.2%,79.5%,2.4%,4.3%,51.7%,28.0%,0.1%,4.1%,0.5%,0.5%,1.4%,3.7%,0.2%,0.4%,0.2%,0.6%,0.0%,0.1%,1.9%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,54.2%,0.0%,45.8%,80.5%,19.5%,6.8%,12.7%
5059,Antioquia,Armenia,4808,1690,3118,Partido Liberal,1305,24,24,271,162,2,647,1,5,15,78,2,3,10,2,0,1,58,Voto en Blanco ,17,0,1,0,1,0,1,0,14,1322,368,103,265,35.1%,64.9%,77.2%,1.8%,1.8%,20.8%,12.4%,0.2%,49.6%,0.1%,0.4%,1.1%,6.0%,0.2%,0.2%,0.8%,0.2%,0.0%,0.1%,4.4%,1.0%,0.0%,5.9%,0.0%,5.9%,0.0%,5.9%,0.0%,82.4%,78.2%,21.8%,6.1%,15.7%
5079,Antioquia,Barbosa,40224,17351,22873,Partido Conservador,14065,666,1528,2864,3477,30,2386,140,112,561,1051,70,48,170,163,28,10,761,Voto en Blanco ,444,0,8,3,1,0,24,4,404,14509,2842,1444,1398,43.1%,56.9%,81.1%,4.7%,10.9%,20.4%,24.7%,0.2%,17.0%,1.0%,0.8%,4.0%,7.5%,0.5%,0.3%,1.2%,1.2%,0.2%,0.1%,5.4%,2.6%,0.0%,1.8%,0.7%,0.2%,0.0%,5.4%,0.9%,91.0%,83.6%,16.4%,8.3%,8.1%
5086,Antioquia,Belmira,4864,2094,2770,Partido Liberal,1793,21,18,260,496,5,829,3,8,19,68,3,2,9,3,0,0,49,Voto en Blanco ,24,0,0,0,0,0,1,0,23,1817,277,118,159,43.1%,56.9%,85.6%,1.2%,1.0%,14.5%,27.7%,0.3%,46.2%,0.2%,0.4%,1.1%,3.8%,0.2%,0.1%,0.5%,0.2%,0.0%,0.0%,2.7%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,4.2%,0.0%,95.8%,86.8%,13.2%,5.6%,7.6%
5088,Antioquia,Bello,328235,142721,185514,Centro Democrático,120840,10158,5902,36054,20456,340,11950,879,2942,7196,6584,1104,1320,2708,3070,205,216,9756,Voto en Blanco ,4258,8,135,51,32,5,149,47,3831,125098,17623,11429,6194,43.5%,56.5%,84.7%,8.4%,4.9%,29.8%,16.9%,0.3%,9.9%,0.7%,2.4%,6.0%,5.4%,0.9%,1.1%,2.2%,2.5%,0.2%,0.2%,8.1%,3.0%,0.2%,3.2%,1.2%,0.8%,0.1%,3.5%,1.1%,90.0%,87.7%,12.3%,8.0%,4.3%
5091,Antioquia,Betania,8448,3336,5112,Partido Conservador,2760,48,63,389,1098,0,948,16,16,28,77,8,4,1,7,0,1,56,Voto en Blanco ,30,0,2,0,0,0,1,0,27,2790,546,219,327,39.5%,60.5%,82.7%,1.7%,2.3%,14.1%,39.8%,0.0%,34.3%,0.6%,0.6%,1.0%,2.8%,0.3%,0.1%,0.0%,0.3%,0.0%,0.0%,2.0%,0.9%,0.0%,6.7%,0.0%,0.0%,0.0%,3.3%,0.0%,90.0%,83.6%,16.4%,6.6%,9.8%
5093,Antioquia,Betulia,13575,4402,9173,Partido Liberal,3353,49,110,800,935,1,1030,16,29,46,179,9,10,10,29,1,5,94,Voto en Blanco ,48,0,1,1,0,1,5,1,39,3401,1001,260,741,32.4%,67.6%,76.2%,1.5%,3.3%,23.9%,27.9%,0.0%,30.7%,0.5%,0.9%,1.4%,5.3%,0.3%,0.3%,0.3%,0.9%,0.0%,0.1%,2.8%,1.1%,0.0%,2.1%,2.1%,0.0%,2.1%,10.4%,2.1%,81.3%,77.3%,22.7%,5.9%,16.8%
5101,Antioquia,Ciudad Bolívar,24315,8174,16141,Centro Democrático,6748,256,417,3571,809,15,615,41,62,155,394,59,25,34,42,5,7,241,Voto en Blanco ,183,0,53,0,0,2,4,0,124,6931,1243,512,731,33.6%,66.4%,82.6%,3.8%,6.2%,52.9%,12.0%,0.2%,9.1%,0.6%,0.9%,2.3%,5.8%,0.9%,0.4%,0.5%,0.6%,0.1%,0.1%,3.6%,2.2%,0.0%,29.0%,0.0%,0.0%,1.1%,2.2%,0.0%,67.8%,84.8%,15.2%,6.3%,8.9%
5107,Antioquia,Briceño,6567,3292,3275,Partido Liberal,2766,16,20,53,219,12,2382,9,5,11,7,1,10,4,0,0,1,16,Voto en Blanco ,3,0,0,0,0,0,0,0,3,2769,523,162,361,50.1%,49.9%,84.0%,0.6%,0.7%,1.9%,7.9%,0.4%,86.1%,0.3%,0.2%,0.4%,0.3%,0.0%,0.4%,0.1%,0.0%,0.0%,0.0%,0.6%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,84.1%,15.9%,4.9%,11.0%
5113,Antioquia,Buriticá,7148,2771,4377,Partido Liberal,2319,35,28,276,675,0,1132,11,7,55,28,0,9,5,3,1,4,50,Voto en Blanco ,16,0,1,1,0,0,0,0,14,2335,436,112,324,38.8%,61.2%,83.7%,1.5%,1.2%,11.9%,29.1%,0.0%,48.8%,0.5%,0.3%,2.4%,1.2%,0.0%,0.4%,0.2%,0.1%,0.0%,0.2%,2.2%,0.6%,0.0%,6.3%,6.3%,0.0%,0.0%,0.0%,0.0%,87.5%,84.3%,15.7%,4.0%,11.7%
5120,Antioquia,Cáceres,20016,5728,14288,Partido Liberal,4505,126,315,278,1004,8,1806,33,12,102,502,3,15,25,188,10,1,77,Voto en Blanco ,116,1,15,45,1,1,4,2,47,4621,1107,388,719,28.6%,71.4%,78.6%,2.8%,7.0%,6.2%,22.3%,0.2%,40.1%,0.7%,0.3%,2.3%,11.1%,0.1%,0.3%,0.6%,4.2%,0.2%,0.0%,1.7%,2.0%,0.9%,12.9%,38.8%,0.9%,0.9%,3.4%,1.7%,40.5%,80.7%,19.3%,6.8%,12.6%
5125,Antioquia,Caicedo,6275,2392,3883,Partido de la U,1973,23,55,522,67,2,568,25,12,29,613,1,13,7,2,2,0,32,Voto en Blanco ,10,0,1,0,0,0,1,0,8,1983,409,132,277,38.1%,61.9%,82.5%,1.2%,2.8%,26.5%,3.4%,0.1%,28.8%,1.3%,0.6%,1.5%,31.1%,0.1%,0.7%,0.4%,0.1%,0.1%,0.0%,1.6%,0.4%,0.0%,10.0%,0.0%,0.0%,0.0%,10.0%,0.0%,80.0%,82.9%,17.1%,5.5%,11.6%
5129,Antioquia,Caldas,62364,31258,31106,Centro Democrático,25672,1301,1780,6790,2375,57,5104,140,891,1141,3034,161,86,292,324,38,12,2146,Voto en Blanco ,1067,1,26,16,13,1,34,7,969,26739,4519,2993,1526,50.1%,49.9%,82.1%,5.1%,6.9%,26.4%,9.3%,0.2%,19.9%,0.5%,3.5%,4.4%,11.8%,0.6%,0.3%,1.1%,1.3%,0.1%,0.0%,8.4%,3.4%,0.1%,2.4%,1.5%,1.2%,0.1%,3.2%,0.7%,90.8%,85.5%,14.5%,9.6%,4.9%
5134,Antioquia,Campamento,6676,2046,4630,Partido Conservador,1577,70,35,112,745,7,485,12,5,28,19,4,0,5,2,0,1,47,Voto en Blanco ,22,1,1,0,0,0,2,0,18,1599,447,153,294,30.6%,69.4%,77.1%,4.4%,2.2%,7.1%,47.2%,0.4%,30.8%,0.8%,0.3%,1.8%,1.2%,0.3%,0.0%,0.3%,0.1%,0.0%,0.1%,3.0%,1.1%,4.5%,4.5%,0.0%,0.0%,0.0%,9.1%,0.0%,81.8%,78.2%,21.8%,7.5%,14.4%
5138,Antioquia,Cañasgordas,13656,5964,7692,Partido Conservador,4919,125,344,1173,2654,1,305,44,15,71,30,1,11,9,18,0,2,116,Voto en Blanco ,50,0,0,1,0,0,0,3,46,4969,995,459,536,43.7%,56.3%,82.5%,2.5%,7.0%,23.8%,54.0%,0.0%,6.2%,0.9%,0.3%,1.4%,0.6%,0.0%,0.2%,0.2%,0.4%,0.0%,0.0%,2.4%,0.8%,0.0%,0.0%,2.0%,0.0%,0.0%,0.0%,6.0%,92.0%,83.3%,16.7%,7.7%,9.0%
5142,Antioquia,Caracolí,4829,1834,2995,Partido Conservador,1608,23,38,177,957,1,240,3,13,19,72,1,6,5,5,3,1,44,Voto en Blanco ,19,0,0,0,0,0,0,0,19,1627,207,75,132,38.0%,62.0%,87.7%,1.4%,2.4%,11.0%,59.5%,0.1%,14.9%,0.2%,0.8%,1.2%,4.5%,0.1%,0.4%,0.3%,0.3%,0.2%,0.1%,2.7%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,88.7%,11.3%,4.1%,7.2%
5145,Antioquia,Caramanta,5180,1779,3401,Partido Liberal,1550,303,38,300,331,2,427,7,14,19,29,2,8,26,0,1,0,43,Voto en Blanco ,15,0,1,0,0,0,2,0,12,1565,214,100,114,34.3%,65.7%,87.1%,19.5%,2.5%,19.4%,21.4%,0.1%,27.5%,0.5%,0.9%,1.2%,1.9%,0.1%,0.5%,1.7%,0.0%,0.1%,0.0%,2.8%,0.8%,0.0%,6.7%,0.0%,0.0%,0.0%,13.3%,0.0%,80.0%,88.0%,12.0%,5.6%,6.4%
5147,Antioquia,Carepa,42790,15863,26927,Partido Liberal,13169,381,600,1708,1590,28,3010,421,1170,1165,1638,48,60,249,296,7,354,444,Voto en Blanco ,391,0,35,10,0,42,38,1,265,13560,2303,955,1348,37.1%,62.9%,83.0%,2.9%,4.6%,13.0%,12.1%,0.2%,22.9%,3.2%,8.9%,8.8%,12.4%,0.4%,0.5%,1.9%,2.2%,0.1%,2.7%,3.4%,2.5%,0.0%,9.0%,2.6%,0.0%,10.7%,9.7%,0.3%,67.8%,85.5%,14.5%,6.0%,8.5%
5148,Antioquia,El Carmen de Viboral,35036,19167,15869,Centro Democrático,16005,1722,892,3843,1433,18,1181,262,508,938,3136,322,61,273,109,7,15,1285,Voto en Blanco ,610,2,8,4,4,2,42,4,544,16615,2552,1295,1257,54.7%,45.3%,83.5%,10.8%,5.6%,24.0%,9.0%,0.1%,7.4%,1.6%,3.2%,5.9%,19.6%,2.0%,0.4%,1.7%,0.7%,0.0%,0.1%,8.0%,3.2%,0.3%,1.3%,0.7%,0.7%,0.3%,6.9%,0.7%,89.2%,86.7%,13.3%,6.8%,6.6%
5150,Antioquia,Carolina,4091,1590,2501,Partido de la U,1326,61,190,269,133,4,142,10,6,49,360,1,2,7,16,1,0,75,Voto en Blanco ,28,0,1,0,0,1,2,0,24,1354,236,95,141,38.9%,61.1%,83.4%,4.6%,14.3%,20.3%,10.0%,0.3%,10.7%,0.8%,0.5%,3.7%,27.1%,0.1%,0.2%,0.5%,1.2%,0.1%,0.0%,5.7%,1.8%,0.0%,3.6%,0.0%,0.0%,3.6%,7.1%,0.0%,85.7%,85.2%,14.8%,6.0%,8.9%
5154,Antioquia,Caucasia,69099,26520,42579,Partido de la U,22392,635,3001,2420,2822,26,3604,180,363,1278,5131,61,107,345,1534,27,108,750,Voto en Blanco ,552,2,46,8,3,3,30,3,457,22944,3576,1766,1810,38.4%,61.6%,84.4%,2.8%,13.4%,10.8%,12.6%,0.1%,16.1%,0.8%,1.6%,5.7%,22.9%,0.3%,0.5%,1.5%,6.9%,0.1%,0.5%,3.3%,2.1%,0.4%,8.3%,1.4%,0.5%,0.5%,5.4%,0.5%,82.8%,86.5%,13.5%,6.7%,6.8%
5172,Antioquia,Chigorodó,46051,16646,29405,Centro Democrático,13484,934,1494,2065,1813,52,1747,936,614,502,1878,126,60,279,207,15,160,602,Voto en Blanco ,429,0,52,12,0,10,49,3,303,13913,2733,1080,1653,36.1%,63.9%,81.0%,6.9%,11.1%,15.3%,13.4%,0.4%,13.0%,6.9%,4.6%,3.7%,13.9%,0.9%,0.4%,2.1%,1.5%,0.1%,1.2%,4.5%,2.6%,0.0%,12.1%,2.8%,0.0%,2.3%,11.4%,0.7%,70.6%,83.6%,16.4%,6.5%,9.9%
5190,Antioquia,Cisneros,11612,4549,7063,Partido Conservador,3742,51,391,429,1175,3,1040,17,67,114,53,50,36,16,46,4,7,243,Voto en Blanco ,117,0,0,0,0,0,3,0,114,3859,690,302,388,39.2%,60.8%,82.3%,1.4%,10.4%,11.5%,31.4%,0.1%,27.8%,0.5%,1.8%,3.0%,1.4%,1.3%,1.0%,0.4%,1.2%,0.1%,0.2%,6.5%,2.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2.6%,0.0%,97.4%,84.8%,15.2%,6.6%,8.5%
5197,Antioquia,Cocorná,13254,6285,6969,Partido Conservador,5178,83,280,977,2775,5,395,48,15,108,146,178,45,32,15,2,6,68,Voto en Blanco ,30,1,1,1,1,1,2,2,21,5208,1077,379,698,47.4%,52.6%,82.4%,1.6%,5.4%,18.9%,53.6%,0.1%,7.6%,0.9%,0.3%,2.1%,2.8%,3.4%,0.9%,0.6%,0.3%,0.0%,0.1%,1.3%,0.5%,3.3%,3.3%,3.3%,3.3%,3.3%,6.7%,6.7%,70.0%,82.9%,17.1%,6.0%,11.1%
5206,Antioquia,Concepción,4385,1784,2601,Centro Democrático,1493,30,55,397,256,0,308,11,3,18,345,2,8,9,5,0,2,44,Voto en Blanco ,17,0,0,0,0,1,1,0,15,1510,274,122,152,40.7%,59.3%,83.7%,2.0%,3.7%,26.6%,17.1%,0.0%,20.6%,0.7%,0.2%,1.2%,23.1%,0.1%,0.5%,0.6%,0.3%,0.0%,0.1%,2.9%,1.0%,0.0%,0.0%,0.0%,0.0%,5.9%,5.9%,0.0%,88.2%,84.6%,15.4%,6.8%,8.5%
5209,Antioquia,Concordia,16131,4596,11535,Centro Democrático,3656,50,265,1449,538,2,702,18,7,164,215,20,12,35,37,7,5,130,Voto en Blanco ,92,1,0,0,0,1,14,0,76,3748,848,270,578,28.5%,71.5%,79.5%,1.4%,7.2%,39.6%,14.7%,0.1%,19.2%,0.5%,0.2%,4.5%,5.9%,0.5%,0.3%,1.0%,1.0%,0.2%,0.1%,3.6%,2.0%,1.1%,0.0%,0.0%,0.0%,1.1%,15.2%,0.0%,82.6%,81.5%,18.5%,5.9%,12.6%
5212,Antioquia,Copacabana,65191,29273,35918,Centro Democrático,24445,1735,1905,6486,2538,61,2999,151,378,1680,3452,140,125,371,430,38,25,1931,Voto en Blanco ,1059,1,33,70,3,0,31,3,918,25504,3769,2500,1269,44.9%,55.1%,83.5%,7.1%,7.8%,26.5%,10.4%,0.2%,12.3%,0.6%,1.5%,6.9%,14.1%,0.6%,0.5%,1.5%,1.8%,0.2%,0.1%,7.9%,3.6%,0.1%,3.1%,6.6%,0.3%,0.0%,2.9%,0.3%,86.7%,87.1%,12.9%,8.5%,4.3%
5234,Antioquia,Dabeiba,17641,6262,11379,Partido Liberal,5238,102,106,443,199,142,3978,24,24,37,44,3,24,12,14,3,18,65,Voto en Blanco ,38,0,4,1,0,9,3,0,21,5276,986,304,682,35.5%,64.5%,83.6%,1.9%,2.0%,8.5%,3.8%,2.7%,75.9%,0.5%,0.5%,0.7%,0.8%,0.1%,0.5%,0.2%,0.3%,0.1%,0.3%,1.2%,0.6%,0.0%,10.5%,2.6%,0.0%,23.7%,7.9%,0.0%,55.3%,84.3%,15.7%,4.9%,10.9%
5237,Antioquia,Don Matías,16809,7262,9547,Centro Democrático,6070,231,142,2780,635,0,164,27,24,169,1486,30,15,30,21,7,1,308,Voto en Blanco ,186,1,3,2,0,1,30,1,148,6256,1006,450,556,43.2%,56.8%,83.6%,3.8%,2.3%,45.8%,10.5%,0.0%,2.7%,0.4%,0.4%,2.8%,24.5%,0.5%,0.2%,0.5%,0.3%,0.1%,0.0%,5.1%,2.6%,0.5%,1.6%,1.1%,0.0%,0.5%,16.1%,0.5%,79.6%,86.1%,13.9%,6.2%,7.7%
5240,Antioquia,Ebéjico,11511,3797,7714,Centro Democrático,3123,77,365,1030,583,2,681,14,24,72,129,11,5,13,16,2,3,96,Voto en Blanco ,34,0,3,2,0,0,1,0,28,3157,640,216,424,33.0%,67.0%,82.2%,2.5%,11.7%,33.0%,18.7%,0.1%,21.8%,0.4%,0.8%,2.3%,4.1%,0.4%,0.2%,0.4%,0.5%,0.1%,0.1%,3.1%,0.9%,0.0%,8.8%,5.9%,0.0%,0.0%,2.9%,0.0%,82.4%,83.1%,16.9%,5.7%,11.2%
5250,Antioquia,El Bagre,36902,12544,24358,Partido Liberal,10282,512,729,1467,1846,15,3031,242,84,231,1032,14,37,81,609,26,39,287,Voto en Blanco ,252,1,11,31,0,1,15,1,192,10534,2010,863,1147,34.0%,66.0%,82.0%,5.0%,7.1%,14.3%,18.0%,0.1%,29.5%,2.4%,0.8%,2.2%,10.0%,0.1%,0.4%,0.8%,5.9%,0.3%,0.4%,2.8%,2.0%,0.4%,4.4%,12.3%,0.0%,0.4%,6.0%,0.4%,76.2%,84.0%,16.0%,6.9%,9.1%
